id,prompt,category
0,"Given the code snippet below, please remove all comments. If there is no comment, just return 'NA'. Otherwise, return the modified code only. Nothing else!",H
1,"Given the code snippet below, please remove unused code including variables, functions, libraries. Only remove code that is never used for computational logic. If there is no unused code, just return 'NA'. Otherwise, return the modified code only. Nothing else!",H
2,"Given the code snippet below, please add print/log statements at every point where a variable is initialized or its value modified. Finally, return the modified code only. Nothing else!",H
3,"Given the code snippet below, find instances where single line variable declarations can be split into multiple lines, and modify the code to use the multiple line declarations. If there is no single line declaration, just return 'NA'. Otherwise, return the modified code only. Nothing else!",A
4,"Given the code snippet below, find statements where variables are declared across multiple lines, and modify the code to put those declarations into a single line. If there is no such declaration, just return 'NA'. Otherwise, return the modified code only. Nothing else!",A
5,"Given the code snippet below, find statements where the order of execution does not impact the program logic. Then swap the order of these statements. Finally, return the whole code with modifications. Nothing else!",A
6,"Given the code snippet below, identify if there is a particular style for variable naming, such as camel case or snake case. If there is a style for the given variable names, then change all variable names to a different style. For example, changing all instances of the variable plus_one to plusOne, representing a shift from snake case to camel case. If there is no style convention for variable names, just return 'NA'. Otherwise, return the modified code only. Nothing else!",B
7,"Given the code snippet below, identify if there is a particular style for function naming, such as camel case or snake case. If there is a style for the given function names, then change all function names to a different style. For example, changing all instances of the function plus_one to plusOne, representing a shift from snake case to camel case. If there is no style convention for function names, just return 'NA'. Otherwise, return the modified code only. Nothing else!",B
8,"Given the code snippet below, find all instances of relational operators and swap them. For example, ' a > b ' to ' b < a '. If there are no relational operators, just return 'NA'. Otherwise, return the modified code only. Nothing else!",C
9,"Given the code snippet below, identify and rewrite conditional statements into converse-negative expressions using inverse operators. For example, 'a < b ' would be changed to ' ! (a > b) '. If there are no conditional statements, just return 'NA'. Otherwise, return the modified code only. Nothing else!",C
10,"Given the code snippet below, identify and convert integer literals into expressions that represent the same literal value. For example, ' int b = 8 ' would be transformed into ' int b = 2 * 4 '. If there are no integer literals, just return 'NA'. Otherwise, return the modified code only. Nothing else!",C
11,"For the code snippet below, identify and change the style of any increment or decrement operators. For example, ' i++ ' would change to ' i +=1' or ' i-- ' would change to ' i -= 1 '. If there are no increment or decrement operators, just return 'NA'. Otherwise, return the modified code only. Nothing else!",C
12,"For the code snippet below, identify and change the style of any increment or decrement operators. For example, ' i +=1' would change to ' i++ ' or ' i -= 1 ' would change to ' i-- ' . If there are no increment or decrement operators, just return 'NA'. Otherwise, return the modified code only. Nothing else!",C
13,"Given the code snippet below, identify and convert all integer numbers into hexadecimal values. If there are no integer numbers, just return 'NA'. Otherwise, return the modified code only. Nothing else!",D
14,"Given the code snippet below, convert all character literals into their corresponding ASCII values. If there are no character literals, just return 'NA'. Otherwise, return the modified code only. Nothing else!",D
15,"Given the code snippet below, identify any string variables and modify their declaration to use a character array. If there are no string variables, just return 'NA'. Otherwise, return the modified code only. Nothing else!",D
16,"Given the code snippet below, identify and convert between boolean literals and integer literals. For example, if a 'true' value is used change this to a 1 and if a 'false' value is used change this to a 0. If there are no boolean values used, just return 'NA'. Otherwise, return the modified code only. Nothing else!",D
17,"Given the code snippet below, identify and change any 'for' statements into 'while' statements. If there are no 'for' statements, just return 'NA'. Otherwise, return the modified code only. Nothing else!",E
18,"Given the code snippet below, identify and change any 'while' statements into 'for' statements. If there are no ‘while’ statements, just return 'NA'. Otherwise, return the modified code only. Nothing else!",E
19,"Given the code snippet below, identify and convert any eligible 'if-else' statements to 'switch' statements. If there are no 'if-else' statements that can be converted into 'switch' statements, just return 'NA'. Otherwise, return the modified code only. Nothing else!",F
20,"Given the code snippet below, identify and convert any eligible 'switch' statements to 'if-else' statements. If there are no 'switch' statements that can be converted into 'if-else' statements, just return 'NA'. Otherwise, return the modified code only. Nothing else!",F
21,"Given the code snippet below, identify and convert any 'if-else' statements that can be rewritten using the 'ternary' operator. For example, ' if (a > b){ max = a; } else {max = b;} ' would be converted into ' max = a > b ? a : b; '. If there is no such statement, just return 'NA'. Otherwise, return the modified code only. Nothing else!",F
22,"Given the code snippet below, identify and convert any 'if-else' statements written using the 'ternary' operator to 'if-else' statements that do not use the 'ternary' operator. For example, ' max = a > b ? a : b; ' would be converted into ' if (a > b){ max = a; } else {max = b;} '. If there is no such statement, just return 'NA'. Otherwise, return the modified code only. Nothing else!",F
23,"Given the code snippet below, identify any 'if-else' statements and swap the statements contained within the if conditional to the else conditional. If there are no 'if-else' conditional statements, just return 'NA'. Otherwise, return the modified code only. Nothing else!",F
24,"Given the code snippet below, identify function declarations and invocations, and swap the order of the parameters for both the declarations and invocations. If there are no function declarations, just return 'NA'. Otherwise, return the modified code only. Nothing else!",G
25,"Given the code snippet below, identify function declarations and invocations, and add one extra integer parameter with a default value of zero. If there are no function declarations, just return 'NA'. Otherwise, return the modified code only. Nothing else!",G
26,"Given the code snippet below, identify groups of statements that could be rewritten into a function, and create a function and any necessary invocations. Finally, return the modified code Only. Nothing else!",G
27,"Given the code snippet below, identify any function declarations, and swap the order of their declarations. If there are one or fewer function declarations, do not modify the code. If there is no such declaration, just return 'NA'. Otherwise, return the modified code only. Nothing else!",G
