id,sample_id,total_change,main_code,adv_code,problem_id,lang,author
212,212-606-csharp-9_5,0.1583710407239819,"/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     public int val;
 *     public TreeNode left;
 *     public TreeNode right;
 *     public TreeNode(int val=0, TreeNode left=null, TreeNode right=null) {
 *         this.val = val;
 *         this.left = left;
 *         this.right = right;
 *     }
 * }
 */
public class Solution {
    public string Tree2str(TreeNode root) {
        if (root == null) {
            return """";
        }

        string result = root.val.ToString();

        if (root.left != null || root.right != null) {
            result += ""("" + Tree2str(root.left) + "")"";
        }
        
        if (root.right != null) {
            result += ""("" + Tree2str(root.right) + "")"";
        }

        return result;
    }
}","/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     public int val;
 *     public TreeNode left;
 *     public TreeNode right;
 *     public TreeNode(int val=0, TreeNode left=null, TreeNode right=null) {
 *         this.val = val;
 *         this.left = left;
 *         this.right = right;
 *     }
 * }
 */
public class Solution {
    public string Tree2str(TreeNode root) {
        if (root == null) {
            return """";
        }

        string result = root.val.ToString();

        if (root.right != null) {
            result += ""("" + Tree2str(root.right) + "")"";
        }
        
        if (root.left != null || root.right != null) {
            result += ""("" + Tree2str(root.left) + "")"";
        }

        return result;
    }
}",606,csharp,9
212,212-606-csharp-9_8,0.33031674208144796,"/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     public int val;
 *     public TreeNode left;
 *     public TreeNode right;
 *     public TreeNode(int val=0, TreeNode left=null, TreeNode right=null) {
 *         this.val = val;
 *         this.left = left;
 *         this.right = right;
 *     }
 * }
 */
public class Solution {
    public string Tree2str(TreeNode root) {
        if (root == null) {
            return """";
        }

        string result = root.val.ToString();

        if (root.left != null || root.right != null) {
            result += ""("" + Tree2str(root.left) + "")"";
        }
        
        if (root.right != null) {
            result += ""("" + Tree2str(root.right) + "")"";
        }

        return result;
    }
}","/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     public int val;
 *     public TreeNode left;
 *     public TreeNode right;
 *     public TreeNode(int val=0, TreeNode left=null, TreeNode right=null) {
 *         this.val = val;
 *         this.left = left;
 *         this.right = right;
 *     }
 * }
 */
public class Solution {
    public string Tree2str(TreeNode root) {
        if (root == null) {
            return """";
        }

        string result = root.val.ToString();

        if (root.left < root.right || root.right < root.left) {
            result += ""("" + Tree2str(root.left) + "")"";
        }
        
        if (root.right < root.left) {
            result += ""("" + Tree2str(root.right) + "")"";
        }

        return result;
    }
}",606,csharp,9
212,212-606-csharp-9_23,0.1583710407239819,"/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     public int val;
 *     public TreeNode left;
 *     public TreeNode right;
 *     public TreeNode(int val=0, TreeNode left=null, TreeNode right=null) {
 *         this.val = val;
 *         this.left = left;
 *         this.right = right;
 *     }
 * }
 */
public class Solution {
    public string Tree2str(TreeNode root) {
        if (root == null) {
            return """";
        }

        string result = root.val.ToString();

        if (root.left != null || root.right != null) {
            result += ""("" + Tree2str(root.left) + "")"";
        }
        
        if (root.right != null) {
            result += ""("" + Tree2str(root.right) + "")"";
        }

        return result;
    }
}","/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     public int val;
 *     public TreeNode left;
 *     public TreeNode right;
 *     public TreeNode(int val=0, TreeNode left=null, TreeNode right=null) {
 *         this.val = val;
 *         this.left = left;
 *         this.right = right;
 *     }
 * }
 */
public class Solution {
    public string Tree2str(TreeNode root) {
        if (root == null) {
            return """";
        }

        string result = root.val.ToString();

        if (root.right != null) {
            result += ""("" + Tree2str(root.right) + "")"";
        }
        
        if (root.left != null || root.right != null) {
            result += ""("" + Tree2str(root.left) + "")"";
        }

        return result;
    }
}",606,csharp,9
212,212-606-csharp-9_26,0.41628959276018096,"/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     public int val;
 *     public TreeNode left;
 *     public TreeNode right;
 *     public TreeNode(int val=0, TreeNode left=null, TreeNode right=null) {
 *         this.val = val;
 *         this.left = left;
 *         this.right = right;
 *     }
 * }
 */
public class Solution {
    public string Tree2str(TreeNode root) {
        if (root == null) {
            return """";
        }

        string result = root.val.ToString();

        if (root.left != null || root.right != null) {
            result += ""("" + Tree2str(root.left) + "")"";
        }
        
        if (root.right != null) {
            result += ""("" + Tree2str(root.right) + "")"";
        }

        return result;
    }
}","/**
 * Definition for a binary tree node.
 * public class TreeNode {
 *     public int val;
 *     public TreeNode left;
 *     public TreeNode right;
 *     public TreeNode(int val=0, TreeNode left=null, TreeNode right=null) {
 *         this.val = val;
 *         this.left = left;
 *         this.right = right;
 *     }
 * }
 */
public class Solution {
    public string Tree2str(TreeNode root) {
        if (root == null) {
            return """";
        }

        string result = root.val.ToString();
        
        result += FormatSubtree(root.left);
        result += FormatSubtree(root.right);

        return result;
    }

    private string FormatSubtree(TreeNode node) {
        if (node == null) {
            return """";
        }
        
        string subtreeStr = ""("" + Tree2str(node) + "")"";
        
        return subtreeStr;
    }
}",606,csharp,9
81,81-203-cpp-63_5,0.35294117647058826,"class Solution {
public:
    ListNode* removeElements(ListNode* head, int T) {
        if(!head) return nullptr;
        head -> next = removeElements(head -> next, T);
        return head -> val == T ? head -> next : head;
    }
};","class Solution {
public:
    ListNode* removeElements(ListNode* head, int T) {
        if(!head) return nullptr;
        return head -> val == T ? head -> next : removeElements(head -> next, T);
    }
};",203,cpp,63
81,81-203-cpp-63_6,0.08823529411764706,"class Solution {
public:
    ListNode* removeElements(ListNode* head, int T) {
        if(!head) return nullptr;
        head -> next = removeElements(head -> next, T);
        return head -> val == T ? head -> next : head;
    }
};","class Solution {
public:
    ListNode* removeElements(ListNode* head, int t) {
        if(!head) return nullptr;
        head -> next = removeElements(head -> next, t);
        return head -> val == t ? head -> next : head;
    }
};",203,cpp,63
81,81-203-cpp-63_8,0.11764705882352941,"class Solution {
public:
    ListNode* removeElements(ListNode* head, int T) {
        if(!head) return nullptr;
        head -> next = removeElements(head -> next, T);
        return head -> val == T ? head -> next : head;
    }
};","class Solution {
public:
    ListNode* removeElements(ListNode* head, int T) {
        if(!head) return nullptr;
        head <- next = removeElements(head <- next, T);
        return head <- val == T ? head <- next : head;
    }
};",203,cpp,63
81,81-203-cpp-63_14,0.08823529411764706,"class Solution {
public:
    ListNode* removeElements(ListNode* head, int T) {
        if(!head) return nullptr;
        head -> next = removeElements(head -> next, T);
        return head -> val == T ? head -> next : head;
    }
};","class Solution {
public:
    ListNode* removeElements(ListNode* head, int 84) {
        if(!head) return nullptr;
        head -> next = removeElements(head -> next, 84);
        return head -> val == 84 ? head -> next : head;
    }
};",203,cpp,63
81,81-203-cpp-63_23,0.029411764705882353,"class Solution {
public:
    ListNode* removeElements(ListNode* head, int T) {
        if(!head) return nullptr;
        head -> next = removeElements(head -> next, T);
        return head -> val == T ? head -> next : head;
    }
};","class Solution {
public:
    ListNode* removeElements(ListNode* head, int T) {
        if(!head) return nullptr;
        head -> next = removeElements(head -> next, T);
        return head -> val != T ? head -> next : head;
    }
};",203,cpp,63
81,81-203-cpp-63_26,0.07352941176470588,"class Solution {
public:
    ListNode* removeElements(ListNode* head, int T) {
        if(!head) return nullptr;
        head -> next = removeElements(head -> next, T);
        return head -> val == T ? head -> next : head;
    }
};","class Solution {
public:
    ListNode* removeElements(ListNode* head, int T) {
        if(!head) return nullptr;
        head -> next = removeElements(head -> next, T);
        return head -> val == T ? head -> next : head;
    }
    
    ListNode* helper(ListNode* head, int T) {
        if(!head) return nullptr;
        head -> next = helper(head -> next, T);
        return head -> val == T ? head -> next : head;
    }
};",203,cpp,63
