Actual,Predicted,Id,Labels
1,1,0,1
13,57,1,13
1,110,2,1
3,3,3,3
34,34,4,34
39,39,5,39
43,77,6,43
0,3,7,0
45,37,8,45
30,121,9,30
56,47,10,56
46,167,11,46
51,60,12,51
67,41,13,67
31,139,14,31
29,114,15,29
68,68,16,68
63,63,17,63
76,37,18,76
81,170,19,81
8,82,20,8
49,34,21,49
49,49,22,49
24,19,23,24
83,83,24,83
34,34,25,34
71,166,26,71
89,89,27,89
93,154,28,93
37,37,29,37
97,139,30,97
88,88,31,88
17,24,32,17
103,51,33,103
37,37,34,37
71,55,35,71
88,88,36,88
44,44,37,44
21,80,38,21
60,54,39,60
119,49,40,119
58,58,41,58
122,54,42,122
63,63,43,63
123,123,44,123
102,100,45,102
119,80,46,119
84,84,47,84
127,127,48,127
6,6,49,6
40,40,50,40
132,139,51,132
0,0,52,0
0,0,53,0
88,88,54,88
107,37,55,107
113,14,56,113
63,63,57,63
106,106,58,106
100,100,59,100
14,14,60,14
75,75,61,75
26,42,62,26
43,77,63,43
34,34,64,34
0,62,65,0
118,123,66,118
3,3,67,3
51,77,68,51
110,9,69,110
26,26,70,26
22,22,71,22
2,127,72,2
70,37,73,70
77,77,74,77
5,5,75,5
19,62,76,19
101,80,77,101
9,9,78,9
120,120,79,120
82,110,80,82
145,145,81,145
63,63,82,63
63,63,83,63
133,133,84,133
124,124,85,124
63,124,86,63
63,124,87,63
63,63,88,63
99,133,89,99
10,109,90,10
19,19,91,19
96,133,92,96
63,63,93,63
44,44,94,44
98,127,95,98
49,49,96,49
25,77,97,25
24,0,98,24
26,127,99,26
114,171,100,114
112,112,101,112
54,166,102,54
60,166,103,60
11,11,104,11
33,33,105,33
63,63,106,63
103,103,107,103
73,131,108,73
80,140,109,80
78,78,110,78
148,148,111,148
3,3,112,3
127,127,113,127
26,26,114,26
150,139,115,150
106,106,116,106
5,5,117,5
7,171,118,7
163,37,119,163
80,41,120,80
120,120,121,120
96,96,122,96
57,62,123,57
142,3,124,142
138,138,125,138
143,143,126,143
129,51,127,129
23,23,128,23
