c1,c2,a1,a2,same,token_diff
620,624,61,61,1,27
73,75,0,0,1,81
645,651,64,64,1,94
274,281,23,23,1,67
541,542,52,52,1,94
222,224,17,17,1,99
130,132,7,7,1,43
428,431,40,40,1,99
221,224,17,17,1,89
76,79,1,1,1,64
590,595,58,58,1,51
616,617,61,61,1,0
320,321,28,28,1,71
575,576,56,56,1,56
211,212,16,16,1,61
595,596,58,58,1,42
224,228,17,17,1,96
581,587,57,57,1,7
555,559,54,54,1,61
535,542,52,52,1,79
553,554,54,54,1,29
536,540,52,52,1,71
198,199,14,14,1,20
539,542,52,52,1,30
297,299,25,25,1,44
12,172,11,11,1,23
580,587,57,57,1,68
476,478,45,45,1,9
440,444,41,41,1,79
223,224,17,17,1,95
464,471,44,44,1,7
195,199,14,14,1,94
256,264,21,21,1,95
619,624,61,61,1,27
103,104,4,4,1,7
158,163,10,10,1,80
114,118,5,5,1,26
242,244,19,19,1,6
20,244,19,19,1,26
437,444,41,41,1,21
373,381,34,34,1,9
301,306,26,26,1,90
472,480,45,45,1,2
179,182,12,12,1,96
654,660,65,65,1,17
248,252,20,20,1,95
168,169,11,11,1,1
473,477,45,45,1,94
8,136,7,7,1,1
478,480,45,45,1,24
546,552,53,53,1,23
467,468,44,44,1,31
166,167,11,11,1,68
15,193,14,14,1,18
30,334,29,29,1,55
66,654,65,65,1,88
420,425,39,39,1,43
88,91,2,2,1,70
537,540,52,52,1,20
67,75,0,0,1,80
364,369,33,33,1,41
49,506,48,48,1,78
185,190,13,13,1,42
618,622,61,61,1,43
647,651,64,64,1,31
193,199,14,14,1,1
169,171,11,11,1,26
546,548,53,53,1,27
221,226,17,17,1,7
564,566,55,55,1,65
539,543,52,52,1,66
149,154,9,9,1,5
536,537,52,52,1,51
566,568,55,55,1,52
76,84,1,1,1,51
346,347,31,31,1,16
625,627,62,62,1,15
77,84,1,1,1,71
275,278,23,23,1,83
401,404,37,37,1,48
27,307,26,26,1,93
431,434,40,40,1,8
564,565,55,55,1,76
469,471,44,44,1,72
499,501,48,48,1,46
277,279,23,23,1,13
115,117,5,5,1,74
436,441,41,41,1,56
292,298,25,25,1,65
168,172,11,11,1,12
3,91,2,2,1,54
239,244,19,19,1,46
535,543,52,52,1,17
21,247,20,20,1,34
50,509,49,49,1,45
276,279,23,23,1,94
193,196,14,14,1,67
627,629,62,62,1,0
544,550,53,53,1,83
179,180,12,12,1,13
572,579,56,56,1,42
12,168,11,11,1,35
374,377,34,34,1,94
491,497,47,47,1,81
182,183,12,12,1,20
437,439,41,41,1,19
580,586,57,57,1,40
324,326,28,28,1,31
293,297,25,25,1,100
47,487,46,46,1,4
612,615,60,60,1,84
14,186,13,13,1,43
315,318,27,27,1,23
9,142,8,8,1,43
195,196,14,14,1,28
28,315,27,27,1,22
251,253,20,20,1,15
499,502,48,48,1,60
492,497,47,47,1,0
20,239,19,19,1,20
91,93,2,2,1,18
152,156,9,9,1,86
112,116,5,5,1,87
175,181,12,12,1,51
20,246,19,19,1,67
620,622,61,61,1,68
166,169,11,11,1,67
175,180,12,12,1,48
553,561,54,54,1,49
95,99,3,3,1,10
86,89,2,2,1,31
545,548,53,53,1,0
7,121,6,6,1,37
94,96,3,3,1,61
202,208,15,15,1,11
573,579,56,56,1,38
