c1,c2,a1,a2,same,token_diff
470,1444,6,14,0,1
340,1065,2,9,0,2
1386,1746,13,22,0,2
9,1870,2,24,0,1
281,535,1,8,0,1
954,2460,8,36,0,2
1752,2597,22,38,0,0
258,1256,38,12,0,2
2122,2545,29,38,0,0
1630,1843,19,23,0,2
1234,1855,12,23,0,1
2145,2269,30,31,0,2
1191,1685,12,21,0,2
1793,2452,22,36,0,1
633,1246,8,12,0,0
1463,1971,14,26,0,2
1704,2270,21,31,0,1
641,1485,8,14,0,1
1672,1819,21,23,0,2
1241,2154,12,30,0,2
1362,2234,13,31,0,2
1172,1662,11,20,0,1
509,1101,7,10,0,2
59,281,8,1,0,1
1072,1198,9,12,0,1
334,2486,2,36,0,2
256,1883,38,24,0,2
120,2371,12,34,0,2
44,1863,8,24,0,0
825,1458,8,14,0,2
92,486,9,7,0,2
483,1741,7,22,0,1
991,1137,8,10,0,1
101,1505,11,15,0,1
1129,2305,10,32,0,2
1837,2174,23,30,0,1
892,1487,8,14,0,0
482,2496,7,36,0,1
1786,2402,22,34,0,1
1453,2452,14,36,0,1
2059,2261,28,31,0,0
36,1902,8,25,0,1
914,2164,8,30,0,1
111,1860,12,23,0,2
384,1495,3,14,0,1
1799,2491,23,36,0,2
368,2580,2,38,0,1
1740,2559,22,38,0,1
24,121,6,12,0,2
396,2417,4,35,0,2
354,1733,2,22,0,12
1355,1919,12,25,0,13
1295,1605,12,18,0,13
2167,2244,30,31,0,12
1651,2477,20,36,0,4
1267,1618,12,19,0,6
1168,2037,11,27,0,7
1637,1776,19,22,0,13
1121,2302,10,32,0,6
994,2273,8,31,0,6
340,2414,2,35,0,7
875,1755,8,22,0,8
342,1964,2,26,0,5
283,653,1,8,0,8
1123,2065,10,29,0,9
1286,2609,12,38,0,11
263,829,38,8,0,9
577,1793,8,22,0,6
306,1483,2,14,0,14
920,1589,8,17,0,8
27,2424,7,36,0,4
462,1510,6,15,0,4
1936,2278,26,31,0,14
290,2628,1,38,0,14
1191,2225,12,31,0,4
352,2333,2,32,0,8
57,2260,8,31,0,10
1428,2274,14,31,0,6
364,829,2,8,0,10
1630,2102,19,29,0,14
1358,2317,12,32,0,14
1060,2313,9,32,0,3
242,2317,36,32,0,5
86,1333,8,12,0,13
281,609,1,8,0,3
1782,2560,22,38,0,11
2027,2324,27,32,0,13
282,2350,1,32,0,11
63,2585,8,38,0,12
381,1172,3,11,0,4
1898,2276,25,31,0,5
1609,2370,18,34,0,9
233,1851,33,23,0,11
1334,2083,12,29,0,4
876,2164,8,30,0,7
512,1062,7,9,0,11
1457,2414,14,35,0,7
1418,2091,14,29,0,13
1771,2588,22,38,0,6
2243,2664,31,38,0,8
769,2056,8,28,0,54
