c1,c2,a1,a2,same,token_diff
648,826,44,44,1,40
4118,4704,57,57,1,20
2042,2587,49,49,1,56
4139,4567,57,57,1,12
162,3201,88,88,1,58
2386,2705,106,106,1,66
2907,2909,34,34,1,31
592,2373,9,9,1,15
1184,3440,62,62,1,9
2966,4732,49,49,1,47
1870,1953,63,63,1,41
276,4089,80,80,1,28
705,943,63,63,1,58
1260,3752,5,5,1,51
222,2160,49,49,1,59
1513,2805,112,112,1,32
60,3446,100,100,1,12
140,2175,60,60,1,3
2483,2635,3,3,1,16
174,716,85,85,1,16
447,3145,80,80,1,28
2981,3031,106,106,1,42
3007,3959,108,108,1,1
942,2387,63,63,1,32
1463,2733,63,63,1,60
44,3030,63,63,1,44
2303,3369,64,64,1,6
1583,3724,41,41,1,5
2190,4509,150,150,1,58
3052,3637,34,34,1,17
2159,4137,14,14,1,15
2018,2460,169,169,1,26
228,672,63,63,1,7
1543,2240,28,28,1,19
3241,3272,37,37,1,43
727,2483,3,3,1,16
2174,2577,106,106,1,30
965,2613,88,88,1,59
2077,4430,106,106,1,40
3177,4609,57,57,1,61
335,4668,161,161,1,46
121,3187,80,80,1,16
942,1365,63,63,1,41
286,665,59,59,1,66
2569,3660,63,63,1,51
1705,1757,120,120,1,65
1314,4735,88,88,1,52
940,1868,63,63,1,59
703,1365,63,63,1,25
710,941,63,63,1,35
3855,3860,77,77,1,1
1279,2188,63,63,1,15
1824,3549,106,106,1,34
3766,4486,23,23,1,59
2060,4276,49,49,1,51
4030,4272,49,49,1,7
2623,4573,167,167,1,12
671,3660,63,63,1,42
3813,4031,49,49,1,3
884,3095,3,3,1,19
2249,3842,110,110,1,11
2482,4073,3,3,1,23
1900,3201,88,88,1,39
296,4296,135,135,1,34
87,3161,63,63,1,59
2045,4346,14,14,1,16
757,3240,92,92,1,3
814,962,102,102,1,33
287,4411,27,27,1,48
3689,3944,49,49,1,14
2214,3289,119,119,1,20
1521,2467,135,135,1,13
2501,4208,88,88,1,27
164,2873,155,155,1,8
1152,2175,60,60,1,21
521,2751,3,3,1,42
2252,2616,49,49,1,14
828,1844,106,106,1,67
1867,3820,63,63,1,2
674,808,63,63,1,43
1044,1713,36,36,1,56
1782,2763,85,85,1,49
2109,2909,34,34,1,16
968,1532,84,84,1,24
2591,2670,5,5,1,37
818,4735,88,88,1,31
817,2818,88,88,1,37
12,3606,46,46,1,4
1590,3657,88,88,1,62
287,2665,27,27,1,21
4507,4671,78,78,1,18
1905,3087,85,85,1,56
1165,2211,78,78,1,38
1369,2532,63,63,1,52
3396,3598,192,192,1,8
2451,3792,49,49,1,54
610,4374,57,57,1,5
