c1,c2,a1,a2,same,token_diff
1721,2109,55,70,0,21
103,1773,33,57,0,13
599,1236,14,37,0,9
653,753,16,20,0,28
533,681,11,17,0,21
690,1821,18,59,0,20
336,463,4,8,0,25
49,1605,16,50,0,20
927,2159,26,72,0,8
1608,1653,50,52,0,27
148,1132,48,33,0,13
1093,1372,31,42,0,32
1246,1557,37,49,0,21
508,2047,10,67,0,4
1476,1600,46,50,0,0
1444,2155,45,72,0,20
368,1209,5,36,0,10
1042,1433,30,45,0,21
1172,1846,34,60,0,19
57,918,19,26,0,29
136,1300,45,39,0,10
785,1575,21,49,0,32
455,1587,8,50,0,6
1574,1812,49,58,0,14
417,674,7,17,0,18
748,1663,20,52,0,32
130,764,43,20,0,31
269,1636,2,51,0,22
1026,1430,29,45,0,23
559,1851,12,60,0,22
320,917,4,26,0,3
108,1745,35,55,0,13
237,909,0,25,0,16
1402,2127,44,71,0,15
447,1043,8,30,0,14
625,1291,15,39,0,10
23,47,7,16,0,23
722,1112,19,32,0,13
1124,1575,33,49,0,16
775,804,21,22,0,20
744,1383,20,43,0,33
312,1473,3,46,0,31
456,2114,8,70,0,17
663,1248,17,37,0,10
447,1294,8,39,0,6
406,1786,7,57,0,10
661,1527,17,48,0,2
1782,1915,57,63,0,23
609,813,15,22,0,27
1354,1622,41,51,0,8
330,1035,4,30,0,75
507,1795,10,58,0,72
928,1722,26,55,0,44
115,769,37,21,0,60
1691,1734,54,55,0,36
192,1696,64,54,0,42
1788,1806,57,58,0,52
314,1782,3,57,0,63
1047,1794,30,57,0,74
289,1406,2,44,0,86
621,929,15,26,0,79
49,1993,16,65,0,43
664,1735,17,55,0,62
191,681,63,17,0,71
280,847,2,23,0,69
421,762,7,20,0,66
1333,2066,41,68,0,58
1307,1733,39,55,0,56
89,305,29,3,0,67
104,360,34,5,0,40
688,1712,18,54,0,44
830,1347,22,41,0,47
559,1975,12,65,0,39
284,746,2,20,0,79
1557,1639,49,51,0,61
310,321,3,4,0,81
57,1831,19,59,0,45
523,1925,11,63,0,58
1915,2111,63,70,0,44
169,1334,55,41,0,56
170,2199,55,73,0,84
331,679,4,17,0,61
1817,2164,59,72,0,55
789,1474,21,46,0,37
190,753,63,20,0,78
445,1606,8,50,0,43
698,2141,18,71,0,41
719,1815,18,58,0,44
1470,2177,46,72,0,57
26,1818,8,59,0,36
763,1969,20,65,0,48
311,1153,3,34,0,57
1170,2097,34,69,0,44
876,1250,24,37,0,83
544,1278,12,38,0,41
170,1298,55,39,0,46
1148,1522,34,48,0,80
180,301,59,3,0,80
973,2072,28,68,0,72
853,1448,23,45,0,42
259,861,1,23,0,158
345,2176,4,72,0,95
972,1694,28,54,0,153
179,1603,59,50,0,118
380,1580,6,50,0,156
127,1310,42,40,0,102
361,1585,5,50,0,146
1000,1613,28,50,0,167
1135,1434,33,45,0,132
418,915,7,26,0,160
747,821,20,22,0,135
1617,1821,51,59,0,154
1071,2140,31,71,0,145
1591,1785,50,57,0,101
6,508,1,10,0,174
1662,1937,52,64,0,96
995,1777,28,57,0,93
25,204,8,67,0,129
671,1154,17,34,0,119
68,1810,22,58,0,151
272,963,2,27,0,143
376,861,5,23,0,98
440,1049,8,30,0,117
419,1774,7,57,0,123
1316,1975,40,65,0,130
533,1153,11,34,0,174
252,1746,1,55,0,145
1390,1422,43,44,0,168
820,1509,22,48,0,134
438,2139,8,71,0,124
615,1818,15,59,0,146
458,745,8,20,0,106
671,1074,17,31,0,153
1123,1347,33,41,0,126
1800,2150,58,72,0,135
1515,1579,48,50,0,147
22,1600,7,50,0,145
783,2124,21,70,0,101
49,1173,16,34,0,154
43,989,14,28,0,94
843,1107,23,32,0,100
132,2113,44,70,0,122
1343,1371,41,42,0,157
950,1779,27,57,0,91
14,1695,4,54,0,124
980,1459,28,46,0,172
638,690,16,18,0,138
242,486,0,9,0,91
328,2022,4,66,0,116
1518,2034,48,67,0,163
1577,2079,50,69,0,195
988,1386,28,43,0,181
131,632,43,16,0,215
546,1274,12,38,0,187
736,1402,19,44,0,228
882,1651,24,52,0,224
1679,2028,53,66,0,184
787,1198,21,35,0,231
161,1448,52,45,0,222
971,1791,28,57,0,205
57,1471,19,46,0,232
190,1468,63,46,0,231
1442,2188,45,73,0,217
779,1407,21,44,0,187
883,2197,24,73,0,206
81,2149,27,72,0,232
1449,1832,45,59,0,193
1394,1398,43,44,0,181
770,847,21,23,0,218
325,992,4,28,0,218
659,1386,17,43,0,210
694,1592,18,50,0,177
10,758,3,20,0,225
603,1693,14,54,0,208
250,821,1,22,0,198
1694,2177,54,72,0,199
24,1704,8,54,0,229
150,1983,49,65,0,201
1261,1727,38,55,0,199
197,1151,65,34,0,222
1114,1800,32,58,0,220
1709,1845,54,60,0,222
737,1631,19,51,0,217
686,1449,18,45,0,189
719,1168,18,34,0,224
1241,2092,37,69,0,192
832,2109,22,70,0,183
1075,1455,31,46,0,191
1055,1102,30,32,0,223
406,2163,7,72,0,215
1171,1983,34,65,0,222
970,1815,28,58,0,191
679,1643,17,52,0,217
219,1613,73,50,0,220
702,1946,18,64,0,205
178,1652,58,52,0,189
689,1571,18,49,0,215
1895,2194,62,73,0,187
654,1936,16,64,0,223
594,2101,14,69,0,217
1777,1822,57,59,0,272
256,1003,1,29,0,271
