c1,c2,a1,a2,same,token_diff
329,958,6,30,0,1
1604,1617,54,55,0,13
1115,1796,34,62,0,21
862,1343,28,45,0,22
855,1389,27,46,0,3
1115,1206,34,38,0,17
877,1224,29,40,0,6
1323,1688,43,57,0,18
1058,1427,34,47,0,25
307,1313,5,43,0,18
1026,1329,32,44,0,14
894,1457,29,48,0,7
657,1478,21,48,0,21
287,468,3,12,0,2
510,1843,15,64,0,1
688,1286,23,43,0,24
133,1458,46,48,0,25
267,444,3,11,0,23
453,1633,12,56,0,12
1272,1508,42,49,0,25
834,1452,27,47,0,25
753,1002,25,31,0,10
1190,1232,37,40,0,7
36,1677,15,57,0,13
183,609,63,20,0,1
301,1653,4,57,0,12
173,210,61,0,0,24
661,846,21,27,0,7
777,1657,26,57,0,14
780,1154,26,35,0,11
709,1002,24,31,0,5
339,1245,6,41,0,13
667,1257,22,42,0,19
788,1771,27,62,0,1
797,1611,27,54,0,25
479,1666,13,57,0,22
168,193,58,0,0,25
303,823,4,27,0,12
457,1401,12,47,0,11
375,420,9,11,0,19
126,622,43,20,0,19
202,788,0,27,0,8
471,1049,12,33,0,10
733,796,25,27,0,23
1122,1370,34,46,0,22
452,964,12,30,0,2
167,729,57,25,0,12
591,842,19,27,0,17
339,389,6,9,0,7
1435,1626,47,55,0,6
407,782,11,26,0,43
133,1627,46,55,0,38
848,1041,27,33,0,58
1377,1605,46,54,0,29
713,897,24,29,0,42
1141,1413,35,47,0,51
248,519,2,15,0,26
655,1240,21,41,0,43
519,819,15,27,0,56
15,1827,5,63,0,60
834,1123,27,34,0,54
157,537,53,17,0,55
352,1413,8,47,0,44
341,699,7,23,0,39
1295,1347,43,45,0,50
858,1499,27,49,0,51
345,625,7,20,0,55
742,1316,25,43,0,34
1401,1482,47,48,0,59
102,844,34,27,0,55
917,1096,29,34,0,34
666,1678,22,57,0,31
138,1086,47,34,0,29
448,1414,12,47,0,45
1445,1900,47,65,0,35
191,238,65,2,0,43
1027,1095,32,34,0,45
465,912,12,29,0,32
102,1749,34,61,0,36
251,1415,2,47,0,35
757,1586,25,53,0,42
279,810,3,27,0,38
518,1222,15,40,0,31
196,1166,0,35,0,33
1471,1507,48,49,0,33
464,670,12,22,0,57
1415,1496,47,48,0,50
681,889,23,29,0,53
62,1392,25,46,0,49
1716,1823,59,63,0,26
269,1890,3,64,0,52
526,686,16,23,0,46
1412,1825,47,63,0,47
728,1783,25,62,0,31
317,928,5,29,0,45
923,1492,29,48,0,51
597,1610,19,54,0,55
502,766,15,25,0,38
66,1034,26,32,0,58
844,1119,27,34,0,32
1500,1633,49,56,0,71
486,1522,14,50,0,94
761,1090,25,34,0,82
567,737,18,25,0,80
299,743,4,25,0,85
287,492,3,14,0,76
745,1386,25,46,0,70
948,1101,29,34,0,65
1251,1286,41,43,0,61
677,1620,23,55,0,69
1121,1684,34,57,0,88
343,1019,7,32,0,66
30,73,12,27,0,87
1429,1495,47,48,0,90
518,755,15,25,0,83
970,1721,30,59,0,62
630,1819,20,63,0,95
1188,1408,37,47,0,86
121,1222,43,40,0,79
991,1268,31,42,0,76
866,1683,28,57,0,79
613,723,20,24,0,76
827,1455,27,47,0,62
1678,1768,57,62,0,66
1256,1351,42,45,0,62
266,450,3,12,0,63
1337,1678,45,57,0,69
451,1442,12,47,0,71
476,1179,13,36,0,90
59,389,24,9,0,62
943,1044,29,33,0,83
59,252,24,2,0,87
803,1699,27,58,0,67
1195,1447,37,47,0,83
607,788,20,27,0,79
1131,1635,35,56,0,69
1264,1405,42,47,0,76
676,973,22,30,0,89
1118,1778,34,62,0,87
473,1719,12,59,0,61
87,1031,30,32,0,82
530,1816,16,63,0,81
231,609,2,20,0,91
285,611,3,20,0,70
913,1392,29,46,0,61
205,758,0,25,0,70
183,915,63,29,0,80
499,1914,15,65,0,89
529,1049,16,33,0,85
382,879,9,29,0,73
141,1224,47,40,0,98
877,1445,29,47,0,113
1280,1915,43,65,0,136
39,720,16,24,0,110
55,1386,23,46,0,106
513,825,15,27,0,135
415,1718,11,59,0,126
102,358,34,8,0,120
383,997,9,31,0,106
527,1161,16,35,0,131
600,1589,20,53,0,118
477,1809,13,62,0,102
778,1794,26,62,0,124
23,1807,9,62,0,106
1235,1548,40,51,0,108
467,1410,12,47,0,112
841,1415,27,47,0,126
174,1384,61,46,0,110
1018,1190,32,37,0,120
1393,1902,46,65,0,123
1096,1245,34,41,0,115
1024,1299,32,43,0,126
80,1363,29,45,0,103
178,1733,62,60,0,107
134,1435,46,47,0,122
747,1306,25,43,0,116
717,964,24,30,0,137
461,1068,12,34,0,105
830,876,27,29,0,104
413,743,11,25,0,132
855,1242,27,41,0,105
364,1018,8,32,0,134
625,1422,20,47,0,115
915,1401,29,47,0,125
1082,1185,34,37,0,121
29,1249,12,41,0,128
80,223,29,1,0,112
357,1696,8,58,0,108
634,1429,20,47,0,117
765,1078,25,34,0,125
1005,1245,32,41,0,101
642,1041,20,33,0,121
655,861,21,27,0,132
492,1063,14,34,0,108
469,1135,12,35,0,98
274,870,3,28,0,100
1469,1657,48,57,0,135
1201,1767,38,62,0,129
1274,1908,43,65,0,121
99,763,34,25,0,100
159,466,55,12,0,167
528,743,16,25,0,177
796,1673,27,57,0,167
11,59,3,24,0,146
1477,1901,48,65,0,156
634,1536,20,50,0,179
1353,1895,45,65,0,152
1138,1802,35,62,0,143
936,1861,29,64,0,163
288,630,3,20,0,180
802,914,27,29,0,180
780,1755,26,62,0,184
622,1112,20,34,0,179
110,1209,36,38,0,166
1082,1627,34,55,0,144
199,1110,0,34,0,143
474,497,12,14,0,184
657,686,21,23,0,183
331,499,6,15,0,149
434,601,11,20,0,155
307,401,5,10,0,171
1195,1800,37,62,0,180
686,1281,23,43,0,180
1648,1823,57,63,0,173
279,1377,3,46,0,176
1291,1769,43,62,0,175
107,1410,35,47,0,156
1048,1208,33,38,0,159
1690,1789,57,62,0,177
590,645,19,20,0,158
719,1785,24,62,0,148
500,709,15,24,0,167
494,598,14,20,0,167
690,798,23,27,0,157
871,1281,28,43,0,150
1003,1847,31,64,0,152
12,1320,3,43,0,141
333,926,6,29,0,169
266,1345,3,45,0,171
473,1037,12,33,0,145
473,953,12,30,0,178
506,1004,15,32,0,174
23,49,9,20,0,184
657,901,21,29,0,166
473,1894,12,65,0,148
639,1316,20,43,0,164
664,1040,21,33,0,174
1424,1745,47,61,0,164
1286,1408,43,47,0,144
1034,1294,32,43,0,162
59,1023,24,32,0,195
182,273,63,3,0,243
759,1780,25,62,0,217
695,1610,23,54,0,214
465,1788,12,62,0,234
715,1674,24,57,0,211
933,1181,29,36,0,254
934,1130,29,35,0,231
244,304,2,4,0,232
1382,1670,46,57,0,236
1017,1560,32,51,0,223
216,517,0,15,0,189
1485,1718,48,59,0,201
1095,1652,34,57,0,250
305,518,4,15,0,191
215,842,0,27,0,207
725,1348,24,45,0,217
1343,1501,45,49,0,219
292,303,3,4,0,214
756,1370,25,46,0,191
127,1641,44,57,0,238
1709,1898,59,65,0,240
1073,1743,34,61,0,236
354,1915,8,65,0,231
741,1126,25,35,0,221
126,1034,43,32,0,220
758,1496,25,48,0,195
883,1787,29,62,0,216
69,1681,27,57,0,253
281,982,3,31,0,190
353,1197,8,37,0,193
374,1290,8,43,0,244
56,175,23,62,0,256
672,854,22,27,0,217
368,375,8,9,0,196
729,1380,25,46,0,194
328,1788,6,62,0,229
1375,1748,46,61,0,236
153,436,51,11,0,187
653,1207,21,38,0,222
872,1905,28,65,0,255
295,1893,3,65,0,248
101,1599,34,54,0,252
1205,1906,38,65,0,196
337,1137,6,35,0,248
1570,1708,52,59,0,229
278,1421,3,47,0,246
1354,1375,45,46,0,224
268,1021,3,32,0,252
1639,1831,56,63,0,211
74,1253,27,42,0,286
224,366,1,8,0,263
1108,1712,34,59,0,351
1782,1843,62,64,0,367
360,1390,8,46,0,343
294,759,3,25,0,319
1142,1369,35,45,0,306
627,1495,20,48,0,361
376,969,9,30,0,309
1011,1342,32,45,0,331
29,1517,12,50,0,378
51,1855,20,64,0,286
1207,1362,38,45,0,309
971,1300,30,43,0,355
332,404,6,11,0,363
487,1099,14,34,0,365
514,588,15,19,0,330
745,1725,25,59,0,320
427,1199,11,37,0,317
189,596,64,19,0,334
715,1906,24,65,0,269
1011,1179,32,36,0,266
1434,1722,47,59,0,338
804,878,27,29,0,293
483,1267,13,42,0,321
580,956,19,30,0,310
401,1491,10,48,0,343
418,525,11,16,0,372
326,1027,6,32,0,295
779,1516,26,50,0,307
296,1223,3,40,0,327
1485,1807,48,62,0,267
447,1760,12,62,0,294
33,1742,13,61,0,320
1139,1767,35,62,0,270
514,1744,15,61,0,301
320,1348,5,45,0,300
335,1368,6,45,0,374
1430,1638,47,56,0,269
273,430,3,11,0,283
104,630,34,20,0,285
97,1352,34,45,0,284
360,1531,8,50,0,376
381,1081,9,34,0,261
719,1167,24,35,0,342
1795,1812,62,63,0,311
736,1758,25,62,0,353
394,871,10,28,0,288
966,1137,30,35,0,369
359,846,8,27,0,296
1035,1722,33,59,0,516
189,654,64,21,0,393
641,1697,20,58,0,491
1182,1865,36,64,0,508
225,1772,1,62,0,520
295,1865,3,64,0,452
422,1900,11,65,0,494
67,426,26,11,0,445
315,1259,5,42,0,450
675,1335,22,45,0,408
639,1200,20,38,0,489
965,1592,30,53,0,461
379,837,9,27,0,456
1223,1681,40,57,0,391
1156,1234,35,40,0,390
337,1592,6,53,0,499
67,579,26,18,0,418
103,1387,34,46,0,465
663,1163,21,35,0,541
566,610,18,20,0,466
71,1158,27,35,0,548
623,924,20,29,0,529
119,590,42,19,0,389
786,1913,26,65,0,485
1399,1714,47,59,0,515
1707,1730,58,60,0,436
103,1232,34,40,0,476
277,1703,3,58,0,506
39,1051,16,33,0,400
694,1756,23,62,0,515
1244,1761,41,62,0,484
405,1566,11,51,0,429
785,1764,26,62,0,514
551,984,18,31,0,440
767,1486,25,48,0,530
1602,1756,54,62,0,404
891,1804,29,62,0,380
620,714,20,24,0,522
1126,1819,35,63,0,492
550,1252,18,42,0,455
231,1165,2,35,0,494
180,1592,62,53,0,498
1425,1753,47,62,0,511
13,864,4,28,0,415
106,377,35,9,0,523
375,444,9,11,0,386
298,1353,4,45,0,506
1164,1784,35,62,0,405
1070,1506,34,49,0,386
534,1501,16,49,0,470
1277,1546,43,51,0,832
435,446,11,12,0,710
1760,1886,62,64,0,588
694,1351,23,45,0,708
572,1784,18,62,0,827
1020,1518,32,50,0,784
549,886,18,29,0,552
119,412,42,11,0,756
788,1211,27,39,0,600
1437,1707,47,58,0,676
41,1820,18,63,0,642
614,1906,20,65,0,1033
1435,1774,47,62,0,1038
724,1486,24,48,0,599
344,1449,7,47,0,571
130,255,45,2,0,811
1515,1659,50,57,0,630
285,1764,3,62,0,611
1284,1531,43,50,0,687
128,1737,45,60,0,602
62,610,25,20,0,642
435,959,11,30,0,902
217,976,1,30,0,564
157,308,53,5,0,1036
1282,1566,43,51,0,1001
165,1462,57,48,0,707
184,610,64,20,0,747
1416,1501,47,49,0,637
377,1725,9,59,0,562
43,276,18,3,0,795
1626,1794,55,62,0,917
37,1223,15,40,0,657
1037,1836,33,64,0,905
535,707,17,24,0,734
581,1146,19,35,0,927
404,1849,11,64,0,620
98,560,34,18,0,655
673,979,22,31,0,758
203,614,0,20,0,945
1741,1883,61,64,0,641
1147,1426,35,47,0,549
763,1383,25,46,0,727
256,552,2,18,0,932
1516,1736,50,60,0,952
682,1462,23,48,0,554
875,1090,28,34,0,565
1223,1828,40,63,0,577
707,959,24,30,0,613
286,1794,3,62,0,967
253,1338,2,45,0,562
107,1593,35,53,0,2992
1244,1580,41,52,0,1856
601,1864,20,64,0,1065
568,1808,18,62,0,1141
257,508,2,15,0,2504
255,1892,2,64,0,2493
1027,1511,32,49,0,1701
221,1878,1,64,0,2479
635,1856,20,64,0,2309
402,1537,10,51,0,1975
582,1460,19,48,0,3733
712,902,24,29,0,1512
625,1559,20,51,0,3362
325,1852,6,64,0,3595
670,1729,22,60,0,1522
797,930,27,29,0,2863
154,875,52,28,0,3066
1630,1844,56,64,0,1200
398,1838,10,64,0,1526
427,1569,11,51,0,2255
1242,1838,41,64,0,1545
721,1839,24,64,0,2097
516,1472,15,48,0,2695
1559,1823,51,63,0,3335
11,431,3,11,0,2277
651,1277,20,43,0,1242
429,1255,11,42,0,1736
309,1544,5,51,0,1842
112,1465,37,48,0,1165
1162,1888,35,64,0,1388
22,1837,9,64,0,2557
115,981,39,31,0,2674
921,1542,29,51,0,2302
580,652,19,20,0,13575
