c1,c2,a1,a2,same,token_diff
1081,1121,34,34,1,80
244,247,2,2,1,73
1411,1448,47,47,1,2
895,909,29,29,1,79
74,795,27,27,1,10
682,685,23,23,1,72
1419,1425,47,47,1,77
204,208,0,0,1,9
365,366,8,8,1,108
1373,1375,46,46,1,71
626,639,20,20,1,68
817,831,27,27,1,54
811,838,27,27,1,102
186,1889,64,64,1,37
1426,1429,47,47,1,48
895,920,29,29,1,27
1416,1419,47,47,1,16
1716,1720,59,59,1,96
1385,1387,46,46,1,48
36,516,15,15,1,4
1392,1395,46,46,1,10
827,838,27,27,1,16
890,943,29,29,1,70
1008,1015,32,32,1,42
505,517,15,15,1,101
888,921,29,29,1,86
1763,1800,62,62,1,21
1644,1655,57,57,1,25
727,731,25,25,1,80
900,945,29,29,1,79
1765,1776,62,62,1,70
276,279,3,3,1,31
75,849,27,27,1,17
1058,1101,34,34,1,77
455,471,12,12,1,9
1756,1790,62,62,1,85
824,838,27,27,1,31
634,640,20,20,1,14
1425,1443,47,47,1,17
530,534,16,16,1,39
1149,1167,35,35,1,37
1408,1416,47,47,1,29
1817,1818,63,63,1,24
1080,1115,34,34,1,40
193,215,0,0,1,72
884,886,29,29,1,42
36,503,15,15,1,48
929,945,29,29,1,37
165,1657,57,57,1,4
1781,1800,62,62,1,39
1656,1666,57,57,1,16
655,657,21,21,1,0
140,1449,47,47,1,62
737,749,25,25,1,21
738,747,25,25,1,90
830,841,27,27,1,11
87,964,30,30,1,33
744,754,25,25,1,47
1080,1100,34,34,1,1
1241,1248,41,41,1,104
798,847,27,27,1,45
917,919,29,29,1,7
1080,1101,34,34,1,33
854,857,27,27,1,22
1411,1449,47,47,1,104
1713,1717,59,59,1,29
60,714,24,24,1,3
898,919,29,29,1,46
831,832,27,27,1,67
822,824,27,27,1,99
793,830,27,27,1,31
1650,1692,57,57,1,102
1642,1658,57,57,1,83
1108,1123,34,34,1,103
911,943,29,29,1,94
792,834,27,27,1,24
506,515,15,15,1,36
36,508,15,15,1,55
314,315,5,5,1,96
841,860,27,27,1,102
1063,1087,34,34,1,36
882,946,29,29,1,83
1286,1313,43,43,1,28
1780,1788,62,62,1,46
123,1307,43,43,1,21
1656,1682,57,57,1,10
797,840,27,27,1,51
606,648,20,20,1,2
453,456,12,12,1,32
1138,1147,35,35,1,44
1645,1680,57,57,1,20
1389,1396,46,46,1,49
118,1248,41,41,1,36
625,639,20,20,1,74
1120,1122,34,34,1,3
798,825,27,27,1,89
1081,1098,34,34,1,25
1799,1802,62,62,1,54
1616,1617,55,55,1,51
1429,1449,47,47,1,71
141,1416,47,47,1,40
136,1408,47,47,1,33
32,452,12,12,1,79
176,1797,62,62,1,82
1440,1450,47,47,1,79
1107,1117,34,34,1,105
810,825,27,27,1,2
121,126,43,43,1,21
284,296,3,3,1,26
122,1307,43,43,1,103
499,505,15,15,1,74
809,845,27,27,1,57
798,845,27,27,1,65
53,662,21,21,1,0
1264,1272,42,42,1,64
164,1641,57,57,1,24
839,850,27,27,1,46
165,1646,57,57,1,34
809,856,27,27,1,77
420,443,11,11,1,13
101,1106,34,34,1,0
381,392,9,9,1,73
1381,1389,46,46,1,76
1126,1160,35,35,1,79
1077,1084,34,34,1,23
1147,1158,35,35,1,3
907,935,29,29,1,89
21,367,8,8,1,41
1422,1443,47,47,1,0
1643,1659,57,57,1,1
1083,1115,34,34,1,106
85,915,29,29,1,45
815,851,27,27,1,6
1059,1115,34,34,1,103
1496,1498,48,48,1,9
1418,1431,47,47,1,79
1435,1442,47,47,1,44
884,893,29,29,1,82
894,943,29,29,1,89
1292,1309,43,43,1,42
917,952,29,29,1,69
819,854,27,27,1,22
123,1281,43,43,1,13
814,818,27,27,1,91
479,484,13,13,1,101
362,367,8,8,1,19
48,631,20,20,1,98
1280,1283,43,43,1,67
897,925,29,29,1,75
1416,1436,47,47,1,70
1014,1017,32,32,1,8
807,841,27,27,1,59
207,215,0,0,1,62
872,874,28,28,1,46
877,890,29,29,1,37
1090,1094,34,34,1,81
795,809,27,27,1,27
1878,1892,64,64,1,24
50,621,20,20,1,9
1787,1798,62,62,1,13
587,592,19,19,1,41
448,468,12,12,1,61
1754,1770,62,62,1,105
1677,1680,57,57,1,81
1057,1079,34,34,1,72
550,553,18,18,1,21
678,689,23,23,1,226
615,643,20,20,1,303
1013,1034,32,32,1,112
756,758,25,25,1,255
1280,1288,43,43,1,125
247,250,2,2,1,257
1756,1809,62,62,1,252
170,1708,59,59,1,123
1438,1444,47,47,1,187
106,1158,35,35,1,268
1085,1086,34,34,1,191
124,1274,43,43,1,201
1895,1906,65,65,1,335
603,633,20,20,1,168
1041,1055,33,33,1,189
1070,1080,34,34,1,151
606,622,20,20,1,134
140,1402,47,47,1,270
1335,1369,45,45,1,183
1111,1119,34,34,1,116
1784,1785,62,62,1,126
134,1370,46,46,1,135
799,850,27,27,1,281
1467,1482,48,48,1,178
1722,1723,59,59,1,265
1010,1015,32,32,1,226
1603,1605,54,54,1,143
1475,1490,48,48,1,149
1378,1390,46,46,1,206
599,641,20,20,1,196
358,367,8,8,1,244
73,811,27,27,1,157
353,356,8,8,1,137
1085,1093,34,34,1,209
1712,1727,59,59,1,124
954,955,30,30,1,270
1688,1691,57,57,1,158
717,720,24,24,1,131
738,752,25,25,1,136
600,608,20,20,1,172
1414,1434,47,47,1,169
1276,1313,43,43,1,154
56,688,23,23,1,147
1767,1805,62,62,1,175
890,891,29,29,1,324
718,722,24,24,1,178
1092,1112,34,34,1,252
336,337,6,6,1,168
1781,1809,62,62,1,116
101,1116,34,34,1,172
417,439,11,11,1,135
164,165,57,57,1,110
27,433,11,11,1,241
741,756,25,25,1,142
627,650,20,20,1,285
1067,1100,34,34,1,126
1663,1681,57,57,1,162
1401,1442,47,47,1,187
887,939,29,29,1,111
249,253,2,2,1,262
104,1100,34,34,1,189
1063,1100,34,34,1,120
73,794,27,27,1,161
1074,1091,34,34,1,144
1284,1312,43,43,1,304
73,843,27,27,1,154
1065,1076,34,34,1,114
919,928,29,29,1,313
1726,1728,59,59,1,237
879,887,29,29,1,193
48,599,20,20,1,157
397,403,10,10,1,224
1378,1387,46,46,1,259
68,830,27,27,1,242
800,804,27,27,1,277
1059,1120,34,34,1,146
457,469,12,12,1,167
495,497,14,14,1,202
69,794,27,27,1,301
838,846,27,27,1,316
736,744,25,25,1,166
1488,1489,48,48,1,219
1731,1736,60,60,1,153
891,900,29,29,1,284
1665,1666,57,57,1,142
761,766,25,25,1,126
98,1112,34,34,1,197
742,747,25,25,1,112
1815,1821,63,63,1,160
729,754,25,25,1,181
877,905,29,29,1,141
82,879,29,29,1,274
895,934,29,29,1,168
167,1651,57,57,1,229
836,845,27,27,1,114
1264,1266,42,42,1,255
1414,1447,47,47,1,148
447,471,12,12,1,254
1139,1163,35,35,1,197
960,962,30,30,1,197
1252,1254,42,42,1,175
1081,1086,34,34,1,160
889,931,29,29,1,225
78,916,29,29,1,281
314,317,5,5,1,314
1759,1762,62,62,1,325
704,705,23,23,1,113
816,840,27,27,1,143
577,578,18,18,1,150
1480,1489,48,48,1,319
1282,1290,43,43,1,245
1126,1162,35,35,1,244
799,830,27,27,1,285
183,1818,63,63,1,110
371,373,8,8,1,221
670,671,22,22,1,147
69,70,27,27,1,228
1467,1478,48,48,1,164
21,364,8,8,1,183
1384,1395,46,46,1,130
1008,1018,32,32,1,110
1760,1809,62,62,1,224
1780,1799,62,62,1,188
802,817,27,27,1,190
100,1071,34,34,1,145
1083,1109,34,34,1,115
813,847,27,27,1,282
604,625,20,20,1,176
419,437,11,11,1,110
1108,1118,34,34,1,111
631,648,20,20,1,328
49,632,20,20,1,183
929,947,29,29,1,118
58,703,23,23,1,238
1020,1027,32,32,1,123
282,294,3,3,1,261
183,1816,63,63,1,203
1778,1800,62,62,1,312
895,922,29,29,1,296
795,797,27,27,1,178
173,1746,61,61,1,255
1095,1096,34,34,1,143
1278,1294,43,43,1,130
41,571,18,18,1,238
447,473,12,12,1,190
1025,1026,32,32,1,138
810,827,27,27,1,235
1361,1363,45,45,1,229
1763,1792,62,62,1,247
1060,1086,34,34,1,234
8,254,2,2,1,121
1763,1789,62,62,1,210
175,176,62,62,1,217
898,932,29,29,1,228
1078,1095,34,34,1,168
358,360,8,8,1,262
807,835,27,27,1,152
1402,1439,47,47,1,147
736,741,25,25,1,123
97,1118,34,34,1,130
146,1471,48,48,1,176
1841,1887,64,64,1,309
1413,1432,47,47,1,325
59,724,24,24,1,218
35,514,15,15,1,269
1782,1784,62,62,1,142
408,435,11,11,1,953
658,660,21,21,1,2670
406,410,11,11,1,347
162,1655,57,57,1,1371
542,547,17,17,1,387
1860,1886,64,64,1,1397
162,1684,57,57,1,1327
555,569,18,18,1,380
26,432,11,11,1,641
419,431,11,11,1,1546
984,988,31,31,1,666
