c1,c2,a1,a2,same,token_diff
269,290,2,2,1,32
1177,1201,35,35,1,76
1841,1858,60,60,1,103
1057,1078,31,31,1,40
1946,1952,64,64,1,181
155,1583,50,50,1,184
363,370,5,5,1,12
111,1221,36,36,1,29
142,1481,47,47,1,21
170,1744,55,55,1,186
1692,1699,54,54,1,68
717,718,18,18,1,25
748,757,20,20,1,104
485,491,9,9,1,58
435,460,8,8,1,4
2161,2172,72,72,1,79
1962,1979,65,65,1,13
1213,1218,36,36,1,4
564,566,13,13,1,54
836,855,23,23,1,191
1259,1266,38,38,1,160
938,955,27,27,1,47
1310,1326,40,40,1,126
296,301,3,3,1,4
1842,1855,60,60,1,81
1436,1440,45,45,1,48
84,968,27,27,1,2
483,489,9,9,1,28
686,716,18,18,1,8
1862,1863,61,61,1,141
361,369,5,5,1,34
1398,1402,44,44,1,48
1819,1824,59,59,1,35
1195,1203,35,35,1,34
1062,1093,31,31,1,78
941,954,27,27,1,172
848,859,23,23,1,36
1320,1326,40,40,1,5
1564,1567,49,49,1,37
57,58,19,19,1,167
1427,1452,45,45,1,52
517,524,11,11,1,30
248,258,1,1,1,2
53,688,18,18,1,0
771,779,21,21,1,105
24,434,8,8,1,98
96,1074,31,31,1,67
1845,1852,60,60,1,52
666,677,17,17,1,78
210,2103,70,70,1,61
1153,1168,34,34,1,123
1332,1338,41,41,1,71
1460,1462,46,46,1,23
98,1091,31,31,1,64
1149,1168,34,34,1,158
1654,1663,52,52,1,19
2034,2041,67,67,1,26
227,231,0,0,1,162
61,752,20,20,1,86
1512,1522,48,48,1,120
87,973,28,28,1,127
1577,1582,50,50,1,3
2089,2099,69,69,1,12
1308,1319,40,40,1,6
969,992,28,28,1,62
269,293,2,2,1,23
2084,2102,69,69,1,5
1208,1225,36,36,1,135
2065,2078,68,68,1,166
1979,1986,65,65,1,67
721,741,19,19,1,56
1809,1815,58,58,1,159
220,2178,73,73,1,177
2183,2199,73,73,1,119
372,373,5,5,1,89
1644,1654,52,52,1,191
370,375,5,5,1,67
1064,1098,31,31,1,145
55,710,18,18,1,25
362,374,5,5,1,46
336,337,4,4,1,133
1072,1097,31,31,1,102
1093,1095,31,31,1,5
1002,1027,29,29,1,50
1147,1159,34,34,1,141
1068,1087,31,31,1,61
1585,1606,50,50,1,40
1070,1073,31,31,1,188
804,832,22,22,1,59
2049,2057,67,67,1,144
980,999,28,28,1,176
432,451,8,8,1,16
140,1471,46,46,1,58
1585,1590,50,50,1,128
1430,1432,45,45,1,163
1067,1092,31,31,1,48
1066,1081,31,31,1,104
149,151,49,49,1,194
